Hashtag_name,Following,Followers,Total_tweets,Activity_level,Semantic_similarity,Polarity,subjectivity,Degree Centrality,katz_centrality,betweenness_centrality,closeness_centrality,Page_rank,Label
PinkTape,0.010903028917897907,0.00039000286331216104,0.03575167762886941,0.036172796642197504,0.5514338760470358,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.010903028917897907,0.00039000286331216104,0.03575167762886941,0.036172796642197504,0.6160293707466603,0.3866319444444445,0.5,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
NickiMinaj,0.0004167618945189089,5.6962443521737245e-06,9.46377215442773e-06,9.358221576523891e-05,0.4151572371782916,0.4070216049382716,0.4694444444444445,0.05724998049369436,0.3104548178536545,0.0017812416356952608,0.41889993334873454,0.04149134005806431,0.0
PinkTape,0.0004167618945189089,5.6962443521737245e-06,9.46377215442773e-06,9.358221576523891e-05,0.5126445284320628,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
PinkTape,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.5580471193725282,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.4746336244660011,0.3866319444444445,0.5,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
EndlessFashion,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.5128502411930245,0.3866319444444445,0.5,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.47854164122925313,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
PinkTape,0.000981407041931624,1.632923380956468e-05,0.000537331952323619,0.008756334712164644,0.5801385117834124,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.000981407041931624,1.632923380956468e-05,0.000537331952323619,0.008756334712164644,0.4834540121583297,0.3866319444444445,0.5,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.023284890364733878,0.0007763981052012787,0.011762417257714288,0.04995295397946043,0.5202979285209164,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.023284890364733878,0.0007763981052012787,0.011762417257714288,0.04995295397946043,0.3981266830368094,0.3866319444444445,0.5,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.008012583520428055,4.8987701428694035e-05,0.0012383521119108583,0.0012442988661939493,0.48335457279546545,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.008012583520428055,4.8987701428694035e-05,0.0012383521119108583,0.0012442988661939493,0.449251630256338,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.47754389975339084,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.3971092971681722,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
BarbzGoStream,0.001492276461019319,7.974742093043215e-06,0.0023834685425966136,0.03848690575478484,0.6590700139715902,0.4907407407407407,0.5833333333333334,0.29101765423327886,0.4659626412227891,0.25620565859029526,0.5253503172085812,0.19597988749524853,0.0
PinkTape,0.001492276461019319,7.974742093043215e-06,0.0023834685425966136,0.03848690575478484,0.519306025026569,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.001492276461019319,7.974742093043215e-06,0.0023834685425966136,0.03848690575478484,0.40578539541215985,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
Money,0.001492276461019319,7.974742093043215e-06,0.0023834685425966136,0.03848690575478484,0.3380391061203655,0.5679012345679012,0.2805555555555556,0.05724998049369436,0.31082369934027215,1.8332566558923918e-05,0.41889993334873454,0.040502943080256176,0.0
PinkTape,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.5332440260502356,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.4362401251995255,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.46943787625410427,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.07997795195138674,0.0010332987254843137,0.013616265069742743,0.02971722283458761,0.42780595733641846,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
EndlessFashion,0.009518303913528628,0.00012626674980651756,0.012608198080256292,0.015879309520692747,0.4403963253475556,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
BarbzGoStream,0.009518303913528628,0.00012626674980651756,0.012608198080256292,0.015879309520692747,0.6691972241421619,0.4907407407407407,0.5833333333333334,0.29101765423327886,0.4659626412227891,0.25620565859029526,0.5253503172085812,0.19597988749524853,0.0
PinkTape,0.0060228815724022965,0.00010044377540999668,0.0276163386768595,0.10515640710015156,0.4934193082633806,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.0060228815724022965,0.00010044377540999668,0.0276163386768595,0.10515640710015156,0.42638774285069303,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
EndlessFashion,0.00010755145665004101,5.696244352173725e-07,2.8040806383489575e-06,2.9103463926990732e-05,0.5109776325347001,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
BarbzGoStream,0.00010755145665004101,5.696244352173725e-07,2.8040806383489575e-06,2.9103463926990732e-05,0.5048292696140062,0.4907407407407407,0.5833333333333334,0.29101765423327886,0.4659626412227891,0.25620565859029526,0.5253503172085812,0.19597988749524853,0.0
PinkTape,0.000981407041931624,1.632923380956468e-05,0.000537331952323619,0.008756334712164644,0.5021519048877159,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.000981407041931624,1.632923380956468e-05,0.000537331952323619,0.008756334712164644,0.5610636403898565,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
EndlessFashion,9.410752456878588e-05,1.2151987951303946e-05,5.222600188924933e-05,0.0002869687141624614,0.4593490141516821,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
barbzgostream,9.410752456878588e-05,1.2151987951303946e-05,5.222600188924933e-05,0.0002869687141624614,0.4979649100788987,0.4907407407407407,0.5833333333333334,0.05724998049369436,0.3083796063152192,0.005341760703526416,0.36349768843437164,0.047158170871596315,0.0
PinkTape,0.000537757283250205,1.7848232303477672e-05,0.0002194193099508059,0.0007802735624423288,0.483034452197708,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.000537757283250205,1.7848232303477672e-05,0.0002194193099508059,0.0007802735624423288,0.5617619847189311,0.45211226851851855,0.3666666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
BarbzGoStream,0.008187354637484372,0.00016462146177782065,0.010216667805824427,0.03376082709555754,0.665006604804537,0.4907407407407407,0.5833333333333334,0.29101765423327886,0.4659626412227891,0.25620565859029526,0.5253503172085812,0.19597988749524853,0.0
PinkTape,0.008187354637484372,0.00016462146177782065,0.010216667805824427,0.03376082709555754,0.4619041686203845,0.4361111111111111,0.4016666666666666,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
